danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,clusters_id
0.87,0.587,6,-6.117,1,0.0406,0.0209,3.18e-06,0.0888,0.814,122.939,audio_features,1FpAKPGuR8SoIUw5t0I5vn,spotify:track:1FpAKPGuR8SoIUw5t0I5vn,https://api.spotify.com/v1/tracks/1FpAKPGuR8SoIUw5t0I5vn,https://api.spotify.com/v1/audio-analysis/1FpAKPGuR8SoIUw5t0I5vn,191073,4,6
0.905,0.492,2,-8.598,1,0.0595,0.0149,3.77e-05,0.371,0.142,110.017,audio_features,4v7SAP4KD96BFLWiCd1vF0,spotify:track:4v7SAP4KD96BFLWiCd1vF0,https://api.spotify.com/v1/tracks/4v7SAP4KD96BFLWiCd1vF0,https://api.spotify.com/v1/audio-analysis/4v7SAP4KD96BFLWiCd1vF0,177840,4,6
0.827,0.189,6,-9.37,0,0.0495,0.852,0.028,0.109,0.485,88.349,audio_features,0A3JouZ9j02d15KoEzP6F0,spotify:track:0A3JouZ9j02d15KoEzP6F0,https://api.spotify.com/v1/tracks/0A3JouZ9j02d15KoEzP6F0,https://api.spotify.com/v1/audio-analysis/0A3JouZ9j02d15KoEzP6F0,192680,4,7
0.502,0.912,1,-4.556,1,0.0564,2.55e-05,0.000173,0.106,0.72,116.761,audio_features,5ghIJDpPoe3CfHMGu71E6T,spotify:track:5ghIJDpPoe3CfHMGu71E6T,https://api.spotify.com/v1/tracks/5ghIJDpPoe3CfHMGu71E6T,https://api.spotify.com/v1/audio-analysis/5ghIJDpPoe3CfHMGu71E6T,301920,4,6
0.212,0.301,2,-12.505,1,0.0384,0.963,0.0033,0.13,0.0798,84.025,audio_features,74WjYdm3Lvbwnds4thYPUU,spotify:track:74WjYdm3Lvbwnds4thYPUU,https://api.spotify.com/v1/tracks/74WjYdm3Lvbwnds4thYPUU,https://api.spotify.com/v1/audio-analysis/74WjYdm3Lvbwnds4thYPUU,177333,4,7
0.717,0.712,0,-6.098,1,0.0765,0.00663,0.0,0.0756,0.825,97.019,audio_features,1HKl3RJInVzf5ObVnM644j,spotify:track:1HKl3RJInVzf5ObVnM644j,https://api.spotify.com/v1/tracks/1HKl3RJInVzf5ObVnM644j,https://api.spotify.com/v1/audio-analysis/1HKl3RJInVzf5ObVnM644j,171172,4,6
0.579,0.824,6,-8.71,0,0.03,0.00206,0.00903,0.059,0.635,123.331,audio_features,5BIMPccDwShpXq784RJlJp,spotify:track:5BIMPccDwShpXq784RJlJp,https://api.spotify.com/v1/tracks/5BIMPccDwShpXq784RJlJp,https://api.spotify.com/v1/audio-analysis/5BIMPccDwShpXq784RJlJp,331573,4,2
0.457,0.523,0,-7.09,1,0.0353,0.606,6.43e-06,0.103,0.376,134.35,audio_features,0XtVfBWnnWDwZveSlsAyKx,spotify:track:0XtVfBWnnWDwZveSlsAyKx,https://api.spotify.com/v1/tracks/0XtVfBWnnWDwZveSlsAyKx,https://api.spotify.com/v1/audio-analysis/0XtVfBWnnWDwZveSlsAyKx,264240,4,7
0.703,0.543,10,-7.947,0,0.0326,0.251,0.000231,0.113,0.0836,95.026,audio_features,6QJY9hgSJmbkXa16ypZy9G,spotify:track:6QJY9hgSJmbkXa16ypZy9G,https://api.spotify.com/v1/tracks/6QJY9hgSJmbkXa16ypZy9G,https://api.spotify.com/v1/audio-analysis/6QJY9hgSJmbkXa16ypZy9G,207994,4,2
0.691,0.829,7,-7.301,0,0.16,0.136,0.0,0.11,0.512,91.003,audio_features,2rfVX4zjVnfUOr1k3txKNG,spotify:track:2rfVX4zjVnfUOr1k3txKNG,https://api.spotify.com/v1/tracks/2rfVX4zjVnfUOr1k3txKNG,https://api.spotify.com/v1/audio-analysis/2rfVX4zjVnfUOr1k3txKNG,182978,4,2
0.409,0.848,1,-9.797,1,0.0328,0.00563,0.92,0.128,0.258,165.928,audio_features,3iNj5fdyY62N1ycufQ3E2M,spotify:track:3iNj5fdyY62N1ycufQ3E2M,https://api.spotify.com/v1/tracks/3iNj5fdyY62N1ycufQ3E2M,https://api.spotify.com/v1/audio-analysis/3iNj5fdyY62N1ycufQ3E2M,223013,4,1
0.299,0.0326,3,-31.81,1,0.0388,0.993,0.891,0.111,0.0938,81.426,audio_features,3qBjnDMDQrSKXKkBHok6oo,spotify:track:3qBjnDMDQrSKXKkBHok6oo,https://api.spotify.com/v1/tracks/3qBjnDMDQrSKXKkBHok6oo,https://api.spotify.com/v1/audio-analysis/3qBjnDMDQrSKXKkBHok6oo,178000,3,5
0.656,0.675,0,-7.324,1,0.0261,0.297,0.00233,0.451,0.675,100.766,audio_features,5gBB6pY1xJ23DGpsf5eoij,spotify:track:5gBB6pY1xJ23DGpsf5eoij,https://api.spotify.com/v1/tracks/5gBB6pY1xJ23DGpsf5eoij,https://api.spotify.com/v1/audio-analysis/5gBB6pY1xJ23DGpsf5eoij,173973,4,6
0.497,0.947,0,-8.802,1,0.0391,8.21e-05,0.000693,0.118,0.588,90.371,audio_features,6nxHMqTNKWlQnx5AFxz1iX,spotify:track:6nxHMqTNKWlQnx5AFxz1iX,https://api.spotify.com/v1/tracks/6nxHMqTNKWlQnx5AFxz1iX,https://api.spotify.com/v1/audio-analysis/6nxHMqTNKWlQnx5AFxz1iX,217907,4,6
0.64,0.74,4,-4.083,1,0.0284,0.0115,0.00678,0.167,0.785,116.879,audio_features,6K4t31amVTZDgR3sKmwUJJ,spotify:track:6K4t31amVTZDgR3sKmwUJJ,https://api.spotify.com/v1/tracks/6K4t31amVTZDgR3sKmwUJJ,https://api.spotify.com/v1/audio-analysis/6K4t31amVTZDgR3sKmwUJJ,216320,4,6
0.52,0.652,5,-6.655,1,0.0274,0.34,5.49e-05,0.256,0.722,80.609,audio_features,6kvoHl80mfCVTv7XnZkjQn,spotify:track:6kvoHl80mfCVTv7XnZkjQn,https://api.spotify.com/v1/tracks/6kvoHl80mfCVTv7XnZkjQn,https://api.spotify.com/v1/audio-analysis/6kvoHl80mfCVTv7XnZkjQn,258787,4,6
0.691,0.973,2,-3.586,1,0.048,0.126,0.0,0.101,0.783,143.961,audio_features,6ztWnPEhEO5QBMo1AOIDah,spotify:track:6ztWnPEhEO5QBMo1AOIDah,https://api.spotify.com/v1/tracks/6ztWnPEhEO5QBMo1AOIDah,https://api.spotify.com/v1/audio-analysis/6ztWnPEhEO5QBMo1AOIDah,231533,4,6
0.433,0.123,1,-11.234,0,0.0468,0.887,0.0,0.106,0.137,181.882,audio_features,0zTSmiDzVkIPUPjsHcUWpe,spotify:track:0zTSmiDzVkIPUPjsHcUWpe,https://api.spotify.com/v1/tracks/0zTSmiDzVkIPUPjsHcUWpe,https://api.spotify.com/v1/audio-analysis/0zTSmiDzVkIPUPjsHcUWpe,244973,4,7
0.47,0.125,0,-16.399,1,0.0445,0.965,1.82e-05,0.354,0.187,128.603,audio_features,1rmmyYF8hpdZ85E9mnW0ma,spotify:track:1rmmyYF8hpdZ85E9mnW0ma,https://api.spotify.com/v1/tracks/1rmmyYF8hpdZ85E9mnW0ma,https://api.spotify.com/v1/audio-analysis/1rmmyYF8hpdZ85E9mnW0ma,155587,4,7
0.786,0.621,7,-9.805,0,0.0282,0.576,0.000404,0.123,0.54,111.459,audio_features,00YK79eSJUSO0dGNGB2CDs,spotify:track:00YK79eSJUSO0dGNGB2CDs,https://api.spotify.com/v1/tracks/00YK79eSJUSO0dGNGB2CDs,https://api.spotify.com/v1/audio-analysis/00YK79eSJUSO0dGNGB2CDs,164360,4,2
0.636,0.52,11,-13.511,1,0.03,0.00168,0.00481,0.212,0.853,115.121,audio_features,2En6fFzzlzPLcV8sXwrx7X,spotify:track:2En6fFzzlzPLcV8sXwrx7X,https://api.spotify.com/v1/tracks/2En6fFzzlzPLcV8sXwrx7X,https://api.spotify.com/v1/audio-analysis/2En6fFzzlzPLcV8sXwrx7X,248707,4,6
0.513,0.48,5,-9.575,0,0.125,0.614,0.0,0.0923,0.595,81.484,audio_features,6qgE98QF1vQ3A78rrgrn1M,spotify:track:6qgE98QF1vQ3A78rrgrn1M,https://api.spotify.com/v1/tracks/6qgE98QF1vQ3A78rrgrn1M,https://api.spotify.com/v1/audio-analysis/6qgE98QF1vQ3A78rrgrn1M,222912,4,2
0.391,0.86,1,-5.54,1,0.0461,0.0642,0.939,0.0792,0.141,120.108,audio_features,2f9K9Gm9CLj0eKFW3BQZE8,spotify:track:2f9K9Gm9CLj0eKFW3BQZE8,https://api.spotify.com/v1/tracks/2f9K9Gm9CLj0eKFW3BQZE8,https://api.spotify.com/v1/audio-analysis/2f9K9Gm9CLj0eKFW3BQZE8,301840,4,1
0.581,0.293,7,-10.918,1,0.038,0.802,0.0,0.0873,0.364,127.162,audio_features,1X2Z8Js9G8YmXIbrwSIptK,spotify:track:1X2Z8Js9G8YmXIbrwSIptK,https://api.spotify.com/v1/tracks/1X2Z8Js9G8YmXIbrwSIptK,https://api.spotify.com/v1/audio-analysis/1X2Z8Js9G8YmXIbrwSIptK,272240,3,7
0.657,0.186,6,-16.317,1,0.0611,0.92,0.000132,0.0799,0.587,79.543,audio_features,4QDbcjFOBHunn5P6vlSeuE,spotify:track:4QDbcjFOBHunn5P6vlSeuE,https://api.spotify.com/v1/tracks/4QDbcjFOBHunn5P6vlSeuE,https://api.spotify.com/v1/audio-analysis/4QDbcjFOBHunn5P6vlSeuE,221400,4,7
0.595,0.82,2,-7.913,0,0.0865,0.417,0.502,0.13,0.622,137.17,audio_features,00xDcOBS1NwrxZlh3XfVr6,spotify:track:00xDcOBS1NwrxZlh3XfVr6,https://api.spotify.com/v1/tracks/00xDcOBS1NwrxZlh3XfVr6,https://api.spotify.com/v1/audio-analysis/00xDcOBS1NwrxZlh3XfVr6,373813,4,2
0.632,0.807,0,-5.893,1,0.126,0.144,0.0211,0.125,0.784,160.174,audio_features,3NeiYiBn3rQBgurfVk92Zm,spotify:track:3NeiYiBn3rQBgurfVk92Zm,https://api.spotify.com/v1/tracks/3NeiYiBn3rQBgurfVk92Zm,https://api.spotify.com/v1/audio-analysis/3NeiYiBn3rQBgurfVk92Zm,197933,4,6
0.478,0.0294,0,-25.319,1,0.0453,0.993,0.948,0.105,0.148,124.308,audio_features,1cpANF6zMBoFoxkoIjZHjv,spotify:track:1cpANF6zMBoFoxkoIjZHjv,https://api.spotify.com/v1/tracks/1cpANF6zMBoFoxkoIjZHjv,https://api.spotify.com/v1/audio-analysis/1cpANF6zMBoFoxkoIjZHjv,324200,3,5
0.555,0.622,9,-12.245,1,0.031,0.00208,0.162,0.147,0.734,156.415,audio_features,1LUsMGslRbetkks6jIjHzb,spotify:track:1LUsMGslRbetkks6jIjHzb,https://api.spotify.com/v1/tracks/1LUsMGslRbetkks6jIjHzb,https://api.spotify.com/v1/audio-analysis/1LUsMGslRbetkks6jIjHzb,354747,4,6
0.438,0.805,8,-6.237,1,0.0624,0.00255,5.69e-05,0.0842,0.564,113.253,audio_features,2aoo2jlRnM3A0NyLQqMN2f,spotify:track:2aoo2jlRnM3A0NyLQqMN2f,https://api.spotify.com/v1/tracks/2aoo2jlRnM3A0NyLQqMN2f,https://api.spotify.com/v1/audio-analysis/2aoo2jlRnM3A0NyLQqMN2f,240800,4,0
0.819,0.705,4,-7.245,0,0.0365,0.162,0.000543,0.0666,0.976,112.248,audio_features,3QyB8F5ZhYoai6qjC3evt4,spotify:track:3QyB8F5ZhYoai6qjC3evt4,https://api.spotify.com/v1/tracks/3QyB8F5ZhYoai6qjC3evt4,https://api.spotify.com/v1/audio-analysis/3QyB8F5ZhYoai6qjC3evt4,182013,4,2
0.367,0.019,1,-28.121,1,0.0542,0.993,0.914,0.0698,0.0391,169.443,audio_features,5VXqnaVDKEFazcDt57pcVY,spotify:track:5VXqnaVDKEFazcDt57pcVY,https://api.spotify.com/v1/tracks/5VXqnaVDKEFazcDt57pcVY,https://api.spotify.com/v1/audio-analysis/5VXqnaVDKEFazcDt57pcVY,357653,3,5
0.413,0.725,3,-5.787,0,0.0324,0.369,2.16e-05,0.0905,0.44,124.618,audio_features,5uvosCdMlFdTXhoazkTI5R,spotify:track:5uvosCdMlFdTXhoazkTI5R,https://api.spotify.com/v1/tracks/5uvosCdMlFdTXhoazkTI5R,https://api.spotify.com/v1/audio-analysis/5uvosCdMlFdTXhoazkTI5R,429760,4,2
0.595,0.902,7,-8.483,1,0.0429,0.225,2.13e-05,0.0734,0.669,120.536,audio_features,1cJ0cJ7h00HviJTsLDmrsz,spotify:track:1cJ0cJ7h00HviJTsLDmrsz,https://api.spotify.com/v1/tracks/1cJ0cJ7h00HviJTsLDmrsz,https://api.spotify.com/v1/audio-analysis/1cJ0cJ7h00HviJTsLDmrsz,196800,4,6
0.291,0.493,7,-9.461,1,0.028,0.0519,9.15e-06,0.101,0.183,182.032,audio_features,5lHgBqh9VwAAzQma55gHRY,spotify:track:5lHgBqh9VwAAzQma55gHRY,https://api.spotify.com/v1/tracks/5lHgBqh9VwAAzQma55gHRY,https://api.spotify.com/v1/audio-analysis/5lHgBqh9VwAAzQma55gHRY,196187,3,0
0.341,0.527,5,-11.066,1,0.0301,0.746,0.889,0.0988,0.505,98.193,audio_features,6s5BwPPzz4bdY5aUHWzqAE,spotify:track:6s5BwPPzz4bdY5aUHWzqAE,https://api.spotify.com/v1/tracks/6s5BwPPzz4bdY5aUHWzqAE,https://api.spotify.com/v1/audio-analysis/6s5BwPPzz4bdY5aUHWzqAE,526293,4,1
0.0811,0.658,11,-6.804,1,0.051,1.41e-05,0.903,0.111,0.251,62.825,audio_features,6DU1WKdUnR7OZkw7BZl9P0,spotify:track:6DU1WKdUnR7OZkw7BZl9P0,https://api.spotify.com/v1/tracks/6DU1WKdUnR7OZkw7BZl9P0,https://api.spotify.com/v1/audio-analysis/6DU1WKdUnR7OZkw7BZl9P0,523333,4,1
0.642,0.538,8,-7.206,1,0.0696,0.0242,0.0,0.273,0.57,143.921,audio_features,1Z8gpnzgTFQKAwmV43iLBB,spotify:track:1Z8gpnzgTFQKAwmV43iLBB,https://api.spotify.com/v1/tracks/1Z8gpnzgTFQKAwmV43iLBB,https://api.spotify.com/v1/audio-analysis/1Z8gpnzgTFQKAwmV43iLBB,150160,4,6
